"Symbol","Price1"
"2PP.F",36.001
"2PP.F",36.021
"2PP.F",36.034
"2PP.F",36.062
"2PP.F",36.075
"2PP.F",36.097
"2PP.F",36.105
"2PP.F",36.117
"2PP.F",36.137
"2PP.F",36.141
"2PP.F",36.148
"2PP.F",36.212
"2PP.F",36.229
"2PP.F",36.25
"2PP.F",36.281
"2PP.F",36.381
"2PP.F",36.387
"2PP.F",36.4
"2PP.F",36.418
"2PP.F",36.422
"2PP.F",36.502
"2PP.F",36.536
"2PP.F",36.56
"2PP.F",36.565
"2PP.F",36.608
"2PP.F",36.65
"2PP.F",36.661
"2PP.F",36.757
"2PP.F",36.8
"2PP.F",36.808
"2PP.F",36.855
"2PP.F",36.947
"2PP.F",36.957
"2PP.F",37.079
"2PP.F",37.099
"2PP.F",37.103
"2PP.F",37.15
"2PP.F",37.2
"2PP.F",37.214
"2PP.F",37.259
"2PP.F",37.3
"2PP.F",37.35
"2PP.F",37.357
"2PP.F",37.425
"2PP.F",37.5
"2PP.F",37.502
"2PP.F",37.51
"2PP.F",37.53
"2PP.F",37.557
"2PP.F",37.58
"2PP.F",37.6
"2PP.F",37.61
"2PP.F",37.717
"2PP.F",37.758
"2PP.F",37.772
"2PP.F",37.836
"2PP.F",37.838
"2PP.F",37.847
"2PP.F",37.954
"2PP.F",37.999
"2PP.F",38.008
"2PP.F",38.05
"2PP.F",38.061
"2PP.F",38.088
"2PP.F",38.092
"2PP.F",38.116
"2PP.F",38.117
"2PP.F",38.133
"2PP.F",38.146
"2PP.F",38.156
"2PP.F",38.16
"2PP.F",38.19
"2PP.F",38.235
"2PP.F",38.35
"2PP.F",38.5
"2PP.F",38.568
"2PP.F",38.579
"2PP.F",38.593
"2PP.F",38.699
"2PP.F",38.749
"2PP.F",38.757
"2PP.F",38.795
"2PP.F",38.811
"2PP.F",38.86
"2PP.F",38.871
"2PP.F",38.872
"2PP.F",38.884
"2PP.F",38.885
"2PP.F",38.888
"2PP.F",38.9
"2PP.F",38.908
"2PP.F",39.056
"2PP.F",39.079
"2PP.F",39.106
"2PP.F",39.169
"2PP.F",39.247
"2PP.F",39.263
"2PP.F",39.306
"2PP.F",39.35
"2PP.F",39.364
"2PP.F",39.366
"2PP.F",39.499
"2PP.F",39.519
"2PP.F",39.527
"2PP.F",39.617
"2PP.F",39.643
"2PP.F",39.651
"2PP.F",39.678
"2PP.F",39.687
"2PP.F",39.731
"2PP.F",39.749
"2PP.F",39.77
"2PP.F",39.801
"2PP.F",39.849
"2PP.F",39.893
"2PP.F",40.018
"2PP.F",40.019
"2PP.F",40.023
"2PP.F",40.044
"2PP.F",40.056
"2PP.F",40.077
"2PP.F",40.09
"2PP.F",40.133
"2PP.F",40.149
"2PP.F",40.166
"2PP.F",40.185
"2PP.F",40.187
"2PP.F",40.2
"2PP.F",40.211
"2PP.F",40.231
"2PP.F",40.25
"2PP.F",40.283
"2PP.F",40.386
"2PP.F",40.433
"2PP.F",40.463
"2PP.F",40.5
"2PP.F",40.502
"2PP.F",40.53
"2PP.F",40.559
"2PP.F",40.567
"2PP.F",40.588
"2PP.F",40.638
"2PP.F",40.639
"2PP.F",40.65
"2PP.F",40.651
"2PP.F",40.781
"2PP.F",40.815
"2PP.F",40.836
"2PP.F",40.844
"2PP.F",40.859
"2PP.F",43.5
"2PP.F",43.713
"2PP.F",44.111
"2PP.F",44.232
"2PP.F",44.435
"2PP.F",44.52
"2PP.F",44.551
"2PP.F",44.576
"2PP.F",44.7
"2PP.F",44.848
"2PP.F",44.857
"2PP.F",44.88
"2PP.F",45.155
"2PP.F",45.298
"2PP.F",45.301
"2PP.F",45.418
"2PP.F",45.434
"2PP.F",45.489
"2PP.F",45.572
"2PP.F",45.578
"2PP.F",45.582
"2PP.F",45.676
"2PP.F",45.706
"2PP.F",46.02
"2PP.F",46.12
"2PP.F",46.249
"2PP.F",46.31
"2PP.F",46.367
"2PP.F",46.4
"2PP.F",46.5
"2PP.F",46.581
"2PP.F",46.705
"2PP.F",47.17
"2PP.F",47.177
"2PP.F",47.234
"2PP.F",47.265
"2PP.F",47.344
"2PP.F",47.368
"2PP.F",47.465
"2PP.F",47.475
"2PP.F",47.58
"2PP.F",47.617
"2PP.F",47.621
"2PP.F",47.678
"2PP.F",47.8
"2PP.F",48
"2PP.F",48.023
"2PP.F",48.096
"2PP.F",48.239
"2PP.F",48.329
"2PP.F",48.491
"2PP.F",49.105
"2PP.F",49.295
"2PP.F",49.411
"2PP.F",49.51
"2PP.F",49.543
"2PP.F",49.786
"2PP.F",49.857
"2PP.F",49.862
"2PP.F",49.899
"2PP.F",49.934
"2PP.F",49.95
"2PP.F",49.993
"2PP.F",50.058
"2PP.F",50.093
"2PP.F",50.102
"2PP.F",50.205
"2PP.F",50.239
"2PP.F",50.283
"2PP.F",50.295
"2PP.F",50.378
"2PP.F",50.384
"2PP.F",50.445
"2PP.F",50.466
"2PP.F",50.471
"2PP.F",50.501
"2PP.F",50.504
"2PP.F",50.512
"2PP.F",50.632
"2PP.F",50.678
"2PP.F",50.706
"2PP.F",50.752
"2PP.F",50.89
"2PP.F",50.954
"2PP.F",50.973
"2PP.F",51.25
"2PP.F",51.269
"2PP.F",51.296
"2PP.F",51.459
"2PP.F",51.535
"2PP.F",51.605
"2PP.F",51.789
"2PP.F",51.806
"2PP.F",51.826
"2PP.F",52.203
"2PP.F",52.254
"2PP.F",52.314
"2PP.F",52.377
"2PP.F",52.471
"2PP.F",52.912
"2PP.F",52.97
"2PP.F",53.11
"2PP.F",53.622
"2PP.F",53.823
"2PP.F",53.866
"2PP.F",53.979
"2PP.F",53.998
"2PP.F",54.24
"2PP.F",54.456
"2PP.F",54.556
"2PP.F",54.748
"2PP.F",55.729
"2PP.F",55.845
"2PP.F",56.171
"2PP.F",56.463
"2PP.F",56.57
"2PP.F",56.961
"2PP.F",57.044
"2PP.F",57.409
"2PP.F",57.839
"2PP.F",58.166
"2PP.F",59.524
"2PP.F",59.556
"2PP.F",59.807
"2PP.F",60.118
"2PP.F",61.084
"2PP.F",61.253
"2PP.F",61.289
"2PP.F",62.001
"2PP.F",62.038
"2PP.F",62.63
"2PP.F",63.038
"2PP.F",63.091
"2PP.F",63.113
"2PP.F",63.258
"2PP.F",63.485
"2PP.F",63.95
"2PP.F",64.25
"2PP.F",64.481
"BAYN.DE",NA
"BAYN.DE",32.69
"BAYN.DE",33.6
"BAYN.DE",33.92
"BAYN.DE",34.61
"BAYN.DE",35.38
"BAYN.DE",35.66
"BAYN.DE",35.7
"BAYN.DE",35.81
"BAYN.DE",36
"BAYN.DE",36.22
"BAYN.DE",36.25
"BAYN.DE",36.41
"BAYN.DE",36.43
"BAYN.DE",36.46
"BAYN.DE",36.52
"BAYN.DE",36.54
"BAYN.DE",36.7
"BAYN.DE",36.8
"BAYN.DE",36.815
"BAYN.DE",36.83
"BAYN.DE",36.85
"BAYN.DE",36.86
"BAYN.DE",36.9
"BAYN.DE",36.93
"BAYN.DE",36.94
"BAYN.DE",36.99
"BAYN.DE",37.06
"BAYN.DE",37.2
"BAYN.DE",37.22
"BAYN.DE",37.29
"BAYN.DE",37.35
"BAYN.DE",37.37
"BAYN.DE",37.38
"BAYN.DE",37.4
"BAYN.DE",37.45
"BAYN.DE",37.5
"BAYN.DE",37.53
