"Symbol","Price1"
"247","2PP.F",35.055
"248","2PP.F",35.083
"249","2PP.F",35.117
"250","2PP.F",35.125
"251","2PP.F",35.151
"252","2PP.F",35.216
"253","2PP.F",35.221
"254","2PP.F",35.283
"255","2PP.F",35.356
"256","2PP.F",35.357
"257","2PP.F",35.374
"258","2PP.F",35.389
"259","2PP.F",35.411
"260","2PP.F",35.413
"261","2PP.F",35.416
"262","2PP.F",35.442
"263","2PP.F",35.495
"264","2PP.F",35.5
"265","2PP.F",35.508
"266","2PP.F",35.534
"267","2PP.F",35.547
"268","2PP.F",35.589
"269","2PP.F",35.596
"270","2PP.F",35.606
"271","2PP.F",35.609
"272","2PP.F",35.616
"273","2PP.F",35.64
"274","2PP.F",35.651
"275","2PP.F",35.669
"276","2PP.F",35.719
"277","2PP.F",35.733
"278","2PP.F",35.748
"279","2PP.F",35.752
"280","2PP.F",35.772
"281","2PP.F",35.782
"282","2PP.F",35.789
"283","2PP.F",35.793
"284","2PP.F",35.794
"285","2PP.F",35.844
"286","2PP.F",35.853
"287","2PP.F",35.874
"288","2PP.F",35.9
"289","2PP.F",35.922
"290","2PP.F",35.98
"291","2PP.F",36.001
"292","2PP.F",36.021
"293","2PP.F",36.034
"294","2PP.F",36.062
"295","2PP.F",36.075
"296","2PP.F",36.097
"297","2PP.F",36.105
"298","2PP.F",36.117
"299","2PP.F",36.137
"300","2PP.F",36.141
"301","2PP.F",36.148
"302","2PP.F",36.212
"303","2PP.F",36.229
"304","2PP.F",36.25
"305","2PP.F",36.281
"306","2PP.F",36.381
"307","2PP.F",36.387
"308","2PP.F",36.4
"309","2PP.F",36.418
"310","2PP.F",36.422
"311","2PP.F",36.502
"312","2PP.F",36.536
"313","2PP.F",36.56
"314","2PP.F",36.565
"315","2PP.F",36.608
"316","2PP.F",36.65
"317","2PP.F",36.661
"318","2PP.F",36.757
"319","2PP.F",36.8
"320","2PP.F",36.808
"321","2PP.F",36.855
"322","2PP.F",36.947
"323","2PP.F",36.957
"324","2PP.F",37.079
"325","2PP.F",37.099
"326","2PP.F",37.103
"327","2PP.F",37.15
"328","2PP.F",37.2
"329","2PP.F",37.214
"330","2PP.F",37.259
"331","2PP.F",37.3
"332","2PP.F",37.35
"333","2PP.F",37.357
"334","2PP.F",37.425
"335","2PP.F",37.5
"336","2PP.F",37.502
"337","2PP.F",37.51
"338","2PP.F",37.53
"339","2PP.F",37.557
"340","2PP.F",37.58
"341","2PP.F",37.6
"342","2PP.F",37.61
"343","2PP.F",37.717
"344","2PP.F",37.758
"345","2PP.F",37.772
"346","2PP.F",37.836
"347","2PP.F",37.838
"348","2PP.F",37.847
"349","2PP.F",37.954
"350","2PP.F",37.999
"351","2PP.F",38.008
"352","2PP.F",38.05
"353","2PP.F",38.061
"354","2PP.F",38.088
"355","2PP.F",38.092
"356","2PP.F",38.116
"357","2PP.F",38.117
"358","2PP.F",38.133
"359","2PP.F",38.146
"360","2PP.F",38.156
"361","2PP.F",38.16
"362","2PP.F",38.19
"363","2PP.F",38.235
"364","2PP.F",38.35
"365","2PP.F",38.5
"366","2PP.F",38.568
"367","2PP.F",38.579
"368","2PP.F",38.593
"369","2PP.F",38.699
"370","2PP.F",38.749
"371","2PP.F",38.757
"372","2PP.F",38.795
"373","2PP.F",38.811
"374","2PP.F",38.86
"375","2PP.F",38.871
"376","2PP.F",38.872
"377","2PP.F",38.884
"378","2PP.F",38.885
"379","2PP.F",38.888
"380","2PP.F",38.9
"381","2PP.F",38.908
"382","2PP.F",39.056
"383","2PP.F",39.079
"384","2PP.F",39.106
"385","2PP.F",39.169
"386","2PP.F",39.247
"387","2PP.F",39.263
"388","2PP.F",39.306
"389","2PP.F",39.35
"390","2PP.F",39.364
"391","2PP.F",39.366
"392","2PP.F",39.499
"393","2PP.F",39.519
"394","2PP.F",39.527
"395","2PP.F",39.617
"396","2PP.F",39.643
"397","2PP.F",39.651
"398","2PP.F",39.678
"399","2PP.F",39.687
"400","2PP.F",39.731
"401","2PP.F",39.749
"402","2PP.F",39.77
"403","2PP.F",39.801
"404","2PP.F",39.849
"405","2PP.F",39.893
"406","2PP.F",40.018
"407","2PP.F",40.019
"408","2PP.F",40.023
"409","2PP.F",40.044
"410","2PP.F",40.056
"411","2PP.F",40.077
"412","2PP.F",40.09
"413","2PP.F",40.133
"414","2PP.F",40.149
"415","2PP.F",40.166
"416","2PP.F",40.185
"417","2PP.F",40.187
"418","2PP.F",40.2
"419","2PP.F",40.211
"420","2PP.F",40.231
"421","2PP.F",40.25
"422","2PP.F",40.283
"423","2PP.F",40.386
"424","2PP.F",40.433
"425","2PP.F",40.463
"426","2PP.F",40.5
"427","2PP.F",40.502
"428","2PP.F",40.53
"429","2PP.F",40.559
"430","2PP.F",40.567
"431","2PP.F",40.588
"432","2PP.F",40.638
"433","2PP.F",40.639
"434","2PP.F",40.65
"435","2PP.F",40.651
"436","2PP.F",40.781
"437","2PP.F",40.815
"438","2PP.F",40.836
"439","2PP.F",40.844
"440","2PP.F",40.859
"441","2PP.F",43.5
"442","2PP.F",43.713
"443","2PP.F",44.111
"444","2PP.F",44.232
"445","2PP.F",44.435
"446","2PP.F",44.52
"447","2PP.F",44.551
"448","2PP.F",44.576
"449","2PP.F",44.7
"450","2PP.F",44.848
"451","2PP.F",44.857
"452","2PP.F",44.88
"453","2PP.F",45.155
"454","2PP.F",45.298
"455","2PP.F",45.301
"456","2PP.F",45.418
"457","2PP.F",45.434
"458","2PP.F",45.489
"459","2PP.F",45.572
"460","2PP.F",45.578
"461","2PP.F",45.582
"462","2PP.F",45.676
"463","2PP.F",45.706
"464","2PP.F",46.02
"465","2PP.F",46.12
"466","2PP.F",46.249
"467","2PP.F",46.31
"468","2PP.F",46.367
"469","2PP.F",46.4
"470","2PP.F",46.5
"471","2PP.F",46.581
"472","2PP.F",46.705
"473","2PP.F",47.17
"474","2PP.F",47.177
"475","2PP.F",47.234
"476","2PP.F",47.265
"477","2PP.F",47.344
"478","2PP.F",47.368
"479","2PP.F",47.465
"480","2PP.F",47.475
"481","2PP.F",47.58
"482","2PP.F",47.617
"483","2PP.F",47.621
"484","2PP.F",47.678
"485","2PP.F",47.8
"486","2PP.F",48
"487","2PP.F",48.023
"488","2PP.F",48.096
"489","2PP.F",48.239
"490","2PP.F",48.329
"491","2PP.F",48.491
"492","2PP.F",49.105
"493","2PP.F",49.295
"494","2PP.F",49.411
"495","2PP.F",49.51
"496","2PP.F",49.543
"497","2PP.F",49.786
"498","2PP.F",49.857
"499","2PP.F",49.862
"500","2PP.F",49.899
"501","2PP.F",49.934
"502","2PP.F",49.95
"503","2PP.F",49.993
"504","2PP.F",50.058
"505","2PP.F",50.093
"506","2PP.F",50.102
"507","2PP.F",50.205
"508","2PP.F",50.239
"509","2PP.F",50.283
"510","2PP.F",50.295
"511","2PP.F",50.378
"512","2PP.F",50.384
"513","2PP.F",50.445
"514","2PP.F",50.466
"515","2PP.F",50.471
"516","2PP.F",50.501
"517","2PP.F",50.504
"518","2PP.F",50.512
"519","2PP.F",50.632
"520","2PP.F",50.678
"521","2PP.F",50.706
"522","2PP.F",50.752
"523","2PP.F",50.89
"524","2PP.F",50.954
"525","2PP.F",50.973
"526","2PP.F",51.25
"527","2PP.F",51.269
"528","2PP.F",51.296
"529","2PP.F",51.459
"530","2PP.F",51.535
"531","2PP.F",51.605
"532","2PP.F",51.789
"533","2PP.F",51.806
"534","2PP.F",51.826
"535","2PP.F",52.203
"536","2PP.F",52.254
"537","2PP.F",52.314
"538","2PP.F",52.377
"539","2PP.F",52.471
"540","2PP.F",52.912
"541","2PP.F",52.97
"542","2PP.F",53.11
"543","2PP.F",53.622
"544","2PP.F",53.823
"545","2PP.F",53.866
"546","2PP.F",53.979
"547","2PP.F",53.998
"548","2PP.F",54.24
"549","2PP.F",54.456
"550","2PP.F",54.556
"551","2PP.F",54.748
"552","2PP.F",55.729
"553","2PP.F",55.845
"554","2PP.F",56.171
"555","2PP.F",56.463
"556","2PP.F",56.57
"557","2PP.F",56.961
"558","2PP.F",57.044
"559","2PP.F",57.409
"560","2PP.F",57.839
"561","2PP.F",58.166
"562","2PP.F",59.524
"563","2PP.F",59.556
"564","2PP.F",59.807
"565","2PP.F",60.118
"566","2PP.F",61.084
"567","2PP.F",61.253
"568","2PP.F",61.289
"569","2PP.F",62.001
"570","2PP.F",62.038
"571","2PP.F",62.63
"572","2PP.F",63.038
"573","2PP.F",63.091
"574","2PP.F",63.113
"575","2PP.F",63.258
"576","2PP.F",63.485
"577","2PP.F",63.95
"578","2PP.F",64.25
"579","2PP.F",64.481
"580","BAYN.DE",NA
"581","BAYN.DE",32.69
"582","BAYN.DE",33.6
"583","BAYN.DE",33.92
"584","BAYN.DE",34.61
"585","BAYN.DE",35.38
"586","BAYN.DE",35.66
"587","BAYN.DE",35.7
"588","BAYN.DE",35.81
"589","BAYN.DE",36
"590","BAYN.DE",36.22
"591","BAYN.DE",36.25
"592","BAYN.DE",36.41
"593","BAYN.DE",36.43
"594","BAYN.DE",36.46
"595","BAYN.DE",36.52
"596","BAYN.DE",36.54
"597","BAYN.DE",36.7
"598","BAYN.DE",36.8
"599","BAYN.DE",36.815
"600","BAYN.DE",36.83
"601","BAYN.DE",36.85
"602","BAYN.DE",36.86
"603","BAYN.DE",36.9
"604","BAYN.DE",36.93
"605","BAYN.DE",36.94
"606","BAYN.DE",36.99
"607","BAYN.DE",37.06
"608","BAYN.DE",37.2
"609","BAYN.DE",37.22
"610","BAYN.DE",37.29
"611","BAYN.DE",37.35
"612","BAYN.DE",37.37
"613","BAYN.DE",37.38
"614","BAYN.DE",37.4
"615","BAYN.DE",37.45
"616","BAYN.DE",37.5
"617","BAYN.DE",37.53
"618","BAYN.DE",37.59
"619","BAYN.DE",37.61
"620","BAYN.DE",37.67
"621","BAYN.DE",37.74
"622","BAYN.DE",37.75
"623","BAYN.DE",37.78
"624","BAYN.DE",37.84
"625","BAYN.DE",37.85
"626","BAYN.DE",37.86
"627","BAYN.DE",37.91
"628","BAYN.DE",37.93
"629","BAYN.DE",37.99
"630","BAYN.DE",38.01
"631","BAYN.DE",38.04
"632","BAYN.DE",38.08
"633","BAYN.DE",38.1
"634","BAYN.DE",38.12
"635","BAYN.DE",38.15
"636","BAYN.DE",38.2
"637","BAYN.DE",38.22
"638","BAYN.DE",38.25
"639","BAYN.DE",38.28
"640","BAYN.DE",38.31
"641","BAYN.DE",38.375
"642","BAYN.DE",38.39
"643","BAYN.DE",38.44
"644","BAYN.DE",38.46
"645","BAYN.DE",38.48
"646","BAYN.DE",38.53
"647","BAYN.DE",38.55
"648","BAYN.DE",38.58
"649","BAYN.DE",38.63
"650","BAYN.DE",38.66
"651","BAYN.DE",38.67
"652","BAYN.DE",38.7
"653","BAYN.DE",38.72
"654","BAYN.DE",38.74
"655","BAYN.DE",38.8
"656","BAYN.DE",38.82
"657","BAYN.DE",38.87
"658","BAYN.DE",38.88
"659","BAYN.DE",38.92
"660","BAYN.DE",38.95
"661","BAYN.DE",38.96
"662","BAYN.DE",38.97
"663","BAYN.DE",38.995
"664","BAYN.DE",39.045
"665","BAYN.DE",39.05
"666","BAYN.DE",39.19
"667","BAYN.DE",39.2
"668","BAYN.DE",39.22
"669","BAYN.DE",39.25
"670","BAYN.DE",39.3
"671","BAYN.DE",39.36
"672","BAYN.DE",39.38
"673","BAYN.DE",39.4
"674","BAYN.DE",39.42
"675","BAYN.DE",39.44
"676","BAYN.DE",39.49
"677","BAYN.DE",39.5
"678","BAYN.DE",39.54
"679","BAYN.DE",39.55
"680","BAYN.DE",39.58
"681","BAYN.DE",39.6
"682","BAYN.DE",39.79
"683","BAYN.DE",39.82
"684","BAYN.DE",39.84
"685","BAYN.DE",39.88
"686","BAYN.DE",39.9
"687","BAYN.DE",39.98
"688","BAYN.DE",39.99
"689","BAYN.DE",40
"690","BAYN.DE",40.01
"691","BAYN.DE",40.04
"692","BAYN.DE",40.05
"693","BAYN.DE",40.08
"694","BAYN.DE",40.1
"695","BAYN.DE",40.12
"696","BAYN.DE",40.2
"697","BAYN.DE",40.23
"698","BAYN.DE",40.25
"699","BAYN.DE",40.34
"700","BAYN.DE",40.37
"701","BAYN.DE",40.4
"702","BAYN.DE",40.6
"703","BAYN.DE",40.68
"704","BAYN.DE",40.73
"705","BAYN.DE",40.76
"706","BAYN.DE",40.77
"707","BAYN.DE",40.825
"708","BAYN.DE",40.85
"709","BAYN.DE",40.86
"710","BAYN.DE",40.87
"711","BAYN.DE",40.895
"712","BAYN.DE",40.9
"713","BAYN.DE",40.93
"714","BAYN.DE",40.99
"715","BAYN.DE",41.08
"716","BAYN.DE",41.1
"717","BAYN.DE",41.14
"718","BAYN.DE",41.2
"719","BAYN.DE",41.25
"720","BAYN.DE",41.27
"721","BAYN.DE",41.34
"722","BAYN.DE",41.41
"723","BAYN.DE",41.44
"724","BAYN.DE",41.45
"725","BAYN.DE",41.48
"726","BAYN.DE",41.54
"727","BAYN.DE",41.55
"728","BAYN.DE",41.61
"729","BAYN.DE",41.72
"730","BAYN.DE",41.77
"731","BAYN.DE",41.8
