"Symbol","Price1","Sector"
"2PP.F",33.66,"Financial Services"
"2PP.F",33.694,"Financial Services"
"2PP.F",33.697,"Financial Services"
"2PP.F",33.704,"Financial Services"
"2PP.F",33.726,"Financial Services"
"2PP.F",33.775,"Financial Services"
"2PP.F",33.792,"Financial Services"
"2PP.F",33.806,"Financial Services"
"2PP.F",33.807,"Financial Services"
"2PP.F",33.809,"Financial Services"
"2PP.F",33.819,"Financial Services"
"2PP.F",33.835,"Financial Services"
"2PP.F",33.836,"Financial Services"
"2PP.F",33.85,"Financial Services"
"2PP.F",33.871,"Financial Services"
"2PP.F",33.882,"Financial Services"
"2PP.F",33.898,"Financial Services"
"2PP.F",33.933,"Financial Services"
"2PP.F",33.939,"Financial Services"
"2PP.F",33.981,"Financial Services"
"2PP.F",33.992,"Financial Services"
"2PP.F",33.996,"Financial Services"
"2PP.F",34,"Financial Services"
"2PP.F",34.005,"Financial Services"
"2PP.F",34.008,"Financial Services"
"2PP.F",34.015,"Financial Services"
"2PP.F",34.018,"Financial Services"
"2PP.F",34.05,"Financial Services"
"2PP.F",34.059,"Financial Services"
"2PP.F",34.088,"Financial Services"
"2PP.F",34.099,"Financial Services"
"2PP.F",34.1,"Financial Services"
"2PP.F",34.12,"Financial Services"
"2PP.F",34.164,"Financial Services"
"2PP.F",34.172,"Financial Services"
"2PP.F",34.178,"Financial Services"
"2PP.F",34.229,"Financial Services"
"2PP.F",34.252,"Financial Services"
"2PP.F",34.26,"Financial Services"
"2PP.F",34.284,"Financial Services"
"2PP.F",34.296,"Financial Services"
"2PP.F",34.3,"Financial Services"
"2PP.F",34.331,"Financial Services"
"2PP.F",34.357,"Financial Services"
"2PP.F",34.372,"Financial Services"
"2PP.F",34.377,"Financial Services"
"2PP.F",34.383,"Financial Services"
"2PP.F",34.384,"Financial Services"
"2PP.F",34.392,"Financial Services"
"2PP.F",34.432,"Financial Services"
"2PP.F",34.441,"Financial Services"
"2PP.F",34.49,"Financial Services"
"2PP.F",34.498,"Financial Services"
"2PP.F",34.5,"Financial Services"
"2PP.F",34.503,"Financial Services"
"2PP.F",34.546,"Financial Services"
"2PP.F",34.563,"Financial Services"
"2PP.F",34.573,"Financial Services"
"2PP.F",34.592,"Financial Services"
"2PP.F",34.621,"Financial Services"
"2PP.F",34.637,"Financial Services"
"2PP.F",34.654,"Financial Services"
"2PP.F",34.699,"Financial Services"
"2PP.F",34.736,"Financial Services"
"2PP.F",34.75,"Financial Services"
"2PP.F",34.758,"Financial Services"
"2PP.F",34.791,"Financial Services"
"2PP.F",34.8,"Financial Services"
"2PP.F",34.805,"Financial Services"
"2PP.F",34.817,"Financial Services"
"2PP.F",34.836,"Financial Services"
"2PP.F",34.838,"Financial Services"
"2PP.F",34.923,"Financial Services"
"2PP.F",34.929,"Financial Services"
"2PP.F",34.966,"Financial Services"
"2PP.F",34.99,"Financial Services"
"2PP.F",35,"Financial Services"
"2PP.F",35.008,"Financial Services"
"2PP.F",35.055,"Financial Services"
"2PP.F",35.083,"Financial Services"
"2PP.F",35.117,"Financial Services"
"2PP.F",35.125,"Financial Services"
"2PP.F",35.151,"Financial Services"
"2PP.F",35.216,"Financial Services"
"2PP.F",35.221,"Financial Services"
"2PP.F",35.283,"Financial Services"
"2PP.F",35.356,"Financial Services"
"2PP.F",35.357,"Financial Services"
"2PP.F",35.374,"Financial Services"
"2PP.F",35.389,"Financial Services"
"2PP.F",35.411,"Financial Services"
"2PP.F",35.413,"Financial Services"
"2PP.F",35.416,"Financial Services"
"2PP.F",35.442,"Financial Services"
"2PP.F",35.495,"Financial Services"
"2PP.F",35.5,"Financial Services"
"2PP.F",35.508,"Financial Services"
"2PP.F",35.534,"Financial Services"
"2PP.F",35.547,"Financial Services"
"2PP.F",35.589,"Financial Services"
"2PP.F",35.596,"Financial Services"
"2PP.F",35.606,"Financial Services"
"2PP.F",35.609,"Financial Services"
"2PP.F",35.616,"Financial Services"
"2PP.F",35.64,"Financial Services"
"2PP.F",35.651,"Financial Services"
"2PP.F",35.669,"Financial Services"
"2PP.F",35.719,"Financial Services"
"2PP.F",35.733,"Financial Services"
"2PP.F",35.748,"Financial Services"
"2PP.F",35.752,"Financial Services"
"2PP.F",35.772,"Financial Services"
"2PP.F",35.782,"Financial Services"
"2PP.F",35.789,"Financial Services"
